BJCD,SGG_NAME,YEAR,SERVICE_BUSINESS_COUNT,TRANSPORT_BUSINESS_COUNT,MANUFACTURING_BUSINESS_COUNT,YTH_EMP_RT,INFECT_DIS_CT,TRAFFIC_DTH_CT,T_SUICIDE_RT_100K,CLIMATE_DMG_IMPACT,TRAFFIC_ACC_PER_100K,FIRE_ACC_PER_100K,FIRE_DTH_CT,FIRE_DMG,TEACHERS,UNIVERSITIES,UNIVERSITY_ADMISSION_RATE,KINDERGARTEN_TEACHERS,STUDENTS_PER_HIGH_CLASS,PRIVATE_ACADEMIES,MAX_TEMP,MIN_TEMP,AVG_WIND_SPD,MAX_GUST_SPD,MAX_GUST_DIR_DEG,TOTAL_RAIN,HOSPITAL_COUNT,WELFARE_FACILITY,PHC_CNT,DOCTORS,CLINIC,GEN_HOSP,BED_TOTAL,HIGH_RISK_DRINK_RT,WELFARE_RATIO,STRESS_AWARE_SOCIAL_PROT,SELF_HEALTH_AWARE_RT,GENDER_RATIO,FOREIGNERS,SELF_FINANCE,CMR,LAND_AREA,TFR,SINGLE_HOUSEHOLD_RATIO,COMMERCIAL_AREA,INDUSTRIAL_AREA,CAR_REGISTRATION_PER_CAPTICA,RENTAL_NATIONAL,RENTAL_PERMANENT,RENTAL_HAPPY,WATER_SUPPLY_RATE,HOUSE_CNT,SEWERAGE_SUPPLY_RATE,GREEN_RT,PARK,CULTURE,SPORTS_FACILITIES,YOUTH_NET_MOVE_RATE
11110,서울특별시 종로구,2020,10.19913965,7.003229082,3602.8,37.1,249.69,3.35,17.9,0,604.5,145,5.36,17.30260148,2182.3,2.01,58.1,67.61,23.07,162.67,35.4,-12.9,2.4,17.9,238.2,1651.1,2.01,3.35,0.67,1617.98,4.909340576,1.34,2240.53,9.5,34.78,28.6,69.7,94.6,6434.42,47,390,322.66,0.522,41,13.16,0,10.30898599,0,0,0,100,31368.15,100,46.74,43.51,44.18,0,0
11140,서울특별시 중구,2020,10.73928879,7.575205092,8692.11,43.8,114.98,4.79,16.5,0,762.5,148,5.59,16.63785789,1638.45,1.6,47.1,77.45,23.37,87.03,36.6,-14.7,1.9,22.8,334.6,1227,3.19,8.78,0.8,684.29,5.297416961,1.6,1089.91,9.7,35.64,29.7,69.2,95.6,7501.6,53.5,540,289.05,0.688,41.4,24.94,0,10.59665973,0,0,0,100,33722.45,100,0.25,46.31,21.56,0.8,3
11170,서울특별시 용산구,2020,9.344366767,6.601936391,624.24,48.4,106.94,5.22,22.8,0,386.9,84,1.3,16.66813723,884.63,0.43,52.9,49.99,21.45,66.94,36.7,-12.5,1.9,18.1,230.6,1447,0.87,3.91,0.43,247.78,4.131800899,0.43,402.54,18.7,39.08,24.1,71.6,92.8,6348.9,39.3,540,488.61,0.634,38.5,2.94,0,10.30898599,0,0,0,100,32403.93,100,41.04,30.86,7.82,0.43,4.9
11200,서울특별시 성동구,2020,9.230016521,6.870406413,1890.27,42.9,123.66,3.07,24,0,381.2,64,0.34,15.03611451,1075.77,0.68,59.1,59.61,19.22,98.45,35,-11,2,20.6,281.3,1567,1.7,1.36,0.34,253.44,4.325456283,0,614.19,15.8,41.24,31.8,65.3,95.5,2367.18,32.7,540,190.08,0.783,34.9,0.55,1.217875709,10.59665973,0,0,0,100,31111.27,100,25.78,21.46,5.11,1.02,0.3
11215,서울특별시 광진구,2020,8.971604642,6.730421264,669.49,49.1,117.69,1.15,19.8,0,250.7,54,3.17,16.36801005,1025.44,0.87,62.7,63.17,25.98,116.82,36.3,-11.9,1.5,12,258.8,1383.5,1.44,2.6,0.29,265.66,4.364244465,0.29,747.37,13.7,43.44,29.7,60.4,93.3,3873,26.2,480,239.12,0.527,41,0.17,0,10.30898599,0,0,0,100,25911.93,100,30.89,14.13,3.17,1.44,2.3
11230,서울특별시 동대문구,2020,9.102126902,7.001527914,1177.24,37.8,144.97,2.92,26.6,0,422.4,44,0.88,14.46795894,1308.2,1.17,67.3,71.46,22.6,102.09,36.2,-11.9,1.7,19.7,39.4,1565,3.79,3.21,0.29,328.14,4.326381781,0.88,1606.89,14.2,48.76,26.2,59.7,98.1,4135.2,23.2,450,179.68,0.699,40.5,0.71,0,10.30898599,0,0,4.083283615,100,30195.11,100,2.69,21.29,3.5,0,3
11260,서울특별시 중랑구,2020,8.687656382,7.239896723,1075.24,50.8,114.01,1.01,24.3,0,366.6,57,2.03,14.4312348,678.99,0.25,62.7,63.59,22.53,66.38,36.1,-11.9,2,18,244.7,1362.5,3.29,3.29,0.25,169.24,4.140273494,0.76,820.37,16.6,48.9,35.1,54.6,97.8,1231.31,17.5,470,136.05,0.66,34.3,0.23,0,10.30898599,0,0,3.553918469,100,28468.06,100,39.67,16.47,1.52,1.27,1.8
11290,서울특별시 성북구,2020,8.652732317,6.671121137,720.57,38,145.72,1.6,20.8,0,291.7,40,0.69,14.86517476,1404.77,1.37,62.4,89.67,23.57,100.42,32.6,-13.9,1.6,21.3,329.1,1762.5,1.37,3.89,0.23,218.92,4.090838423,0,796.97,15.4,46.45,33.8,54.9,93.1,2265.34,20,390,166.07,0.676,34.2,0.21,0,10.30898599,0,0,0,100,31709.95,100,26.13,8.69,5.49,0.69,0.8
11305,서울특별시 강북구,2020,8.728825947,6.880281302,680.07,47.2,94.14,0.97,26.5,0,352.9,60,2.27,14.30802455,574.9,0,61.3,38.63,25.22,66.87,37.1,-12.4,1.9,25.2,284.1,1716,3.25,3.9,0.32,141.21,4.295787687,0.32,764.47,17.8,50.72,35.1,59.6,95.1,1140.71,16.8,340,156.79,0.55,35.2,0.29,0,9.903537551,0,1357.23,0,100,31634.61,100,52.4,18.18,3.9,0,-0.7
11320,서울특별시 도봉구,2020,8.566173814,7.28734858,431.97,46.7,84.55,2.15,25.5,0,227.8,50,0.61,13.88867899,812.9,0.31,58.7,64.56,22.22,91.31,34.9,-13.7,1.2,15.8,230.6,1857,2.46,2.77,0.31,123.59,3.928093186,0.31,793.83,14.9,47.16,29,55.2,95.2,646.87,18.4,370,175.86,0.601,27.4,0.25,0.871293366,10.30898599,75.33,0,0,100,32945.03,100,49.84,15.68,3.38,1.23,-3.2
